                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    337,                 1.3054,                0.63886,                 1.1561,                0.85409,                0.71655,                0.78062,                0.38677,                 1.7573,                0.75169,                 1.4503,               0.001684,               0.001684,               0.001684
                    338,                 1.2942,                0.63358,                 1.1509,                 0.8532,                0.71655,                0.77979,                0.38625,                 1.7573,                0.75236,                 1.4498,              0.0016592,              0.0016592,              0.0016592
                    339,                 1.3031,                0.64112,                 1.1504,                0.85575,                0.71632,                0.78378,                0.38784,                 1.7586,                0.75186,                 1.4508,              0.0016345,              0.0016345,              0.0016345
                    340,                 1.3042,                0.63728,                   1.15,                0.85261,                0.71255,                0.77915,                0.38741,                 1.7592,                0.75114,                 1.4513,              0.0016097,              0.0016097,              0.0016097
                    341,                 1.3141,                0.64221,                 1.1596,                0.84866,                0.71279,                0.77895,                0.38717,                 1.7591,                 0.7519,                 1.4511,               0.001585,               0.001585,               0.001585
                    342,                 1.2936,                 0.6318,                 1.1482,                0.84785,                0.71355,                0.77905,                0.38635,                 1.7592,                0.75146,                 1.4514,              0.0015602,              0.0015602,              0.0015602
                    343,                 1.2894,                0.63264,                 1.1511,                0.84929,                0.71283,                0.77395,                0.38553,                 1.7583,                 0.7517,                 1.4508,              0.0015355,              0.0015355,              0.0015355
                    344,                 1.2925,                0.63799,                 1.1475,                0.84804,                 0.7137,                0.77412,                0.38587,                 1.7588,                0.75091,                 1.4509,              0.0015107,              0.0015107,              0.0015107
                    345,                 1.2899,                0.63461,                 1.1526,                 0.8475,                0.71324,                0.77054,                0.38423,                 1.7605,                0.75223,                 1.4517,               0.001486,               0.001486,               0.001486
                    346,                 1.2992,                0.63107,                 1.1507,                0.84757,                0.71236,                0.76947,                0.38464,                 1.7614,                0.75286,                 1.4518,              0.0014612,              0.0014612,              0.0014612
                    347,                 1.2922,                0.63246,                 1.1459,                0.84934,                0.71399,                0.77027,                0.38518,                 1.7608,                0.75356,                 1.4522,              0.0014365,              0.0014365,              0.0014365
                    348,                  1.301,                 0.6372,                 1.1511,                0.84884,                0.71453,                0.77164,                0.38481,                 1.7612,                0.75316,                 1.4525,              0.0014117,              0.0014117,              0.0014117
                    349,                 1.2932,                0.63245,                 1.1481,                0.84367,                0.71003,                 0.7683,                0.38361,                 1.7623,                0.75451,                 1.4531,               0.001387,               0.001387,               0.001387
                    350,                 1.2875,                0.63085,                  1.148,                0.84381,                0.70991,                0.76714,                 0.3827,                 1.7623,                  0.755,                 1.4534,              0.0013622,              0.0013622,              0.0013622
                    351,                 1.2904,                0.63053,                 1.1495,                0.80034,                0.74499,                0.76813,                0.38351,                 1.7626,                 0.7562,                 1.4541,              0.0013375,              0.0013375,              0.0013375
                    352,                 1.2854,                0.62921,                 1.1448,                 0.8013,                0.74521,                0.76833,                0.38553,                 1.7626,                0.75612,                 1.4545,              0.0013128,              0.0013128,              0.0013128
                    353,                 1.2806,                0.62551,                 1.1438,                0.80311,                0.74721,                0.77264,                0.38482,                 1.7642,                0.75629,                 1.4547,               0.001288,               0.001288,               0.001288
                    354,                 1.2757,                0.62341,                  1.144,                0.80139,                0.74366,                0.77089,                0.38313,                 1.7645,                 0.7574,                 1.4559,              0.0012633,              0.0012633,              0.0012633
                    355,                  1.291,                0.63364,                 1.1428,                0.80205,                0.74223,                0.77081,                0.38354,                 1.7646,                0.75645,                 1.4561,              0.0012385,              0.0012385,              0.0012385
                    356,                 1.2698,                0.62024,                 1.1427,                0.80585,                0.74202,                0.77428,                0.38372,                  1.765,                0.75629,                 1.4564,              0.0012138,              0.0012138,              0.0012138
                    357,                 1.2797,                0.62447,                 1.1474,                0.80296,                0.74002,                0.77217,                0.38322,                 1.7662,                0.75613,                 1.4565,               0.001189,               0.001189,               0.001189
                    358,                 1.2832,                0.62718,                 1.1473,                0.80217,                0.74126,                0.77218,                0.38288,                 1.7659,                0.75751,                 1.4562,              0.0011643,              0.0011643,              0.0011643
                    359,                 1.2863,                0.62904,                 1.1442,                0.80133,                0.73926,                0.77492,                0.38493,                 1.7662,                0.75697,                 1.4563,              0.0011395,              0.0011395,              0.0011395
                    360,                 1.2794,                0.62388,                 1.1407,                 0.8031,                0.73817,                0.78166,                0.38889,                 1.7672,                0.75695,                 1.4569,              0.0011148,              0.0011148,              0.0011148
                    361,                 1.2735,                0.62018,                 1.1413,                0.80461,                0.73768,                0.78225,                0.38826,                 1.7681,                0.75692,                 1.4578,                0.00109,                0.00109,                0.00109
                    362,                 1.2704,                0.62097,                 1.1364,                0.80693,                0.73523,                0.78274,                0.38776,                 1.7667,                0.75811,                 1.4559,              0.0010653,              0.0010653,              0.0010653
                    363,                 1.2681,                0.62043,                 1.1369,                0.80991,                0.73501,                0.78644,                0.38587,                 1.7682,                0.75841,                 1.4563,              0.0010405,              0.0010405,              0.0010405
                    364,                 1.2775,                 0.6254,                 1.1454,                0.81121,                0.73525,                0.78642,                0.38849,                 1.7684,                0.75906,                 1.4559,              0.0010158,              0.0010158,              0.0010158
                    365,                 1.2763,                0.62016,                 1.1404,                0.81237,                0.73491,                0.78645,                0.38919,                 1.7688,                0.75882,                 1.4564,               0.000991,               0.000991,               0.000991
                    366,                 1.2671,                0.61961,                 1.1355,                 0.8116,                0.73651,                0.78724,                0.38935,                 1.7676,                0.75859,                 1.4561,             0.00096625,             0.00096625,             0.00096625
                    367,                 1.2719,                0.61864,                 1.1394,                0.81458,                0.73997,                 0.7886,                0.38669,                 1.7671,                0.75789,                  1.456,              0.0009415,              0.0009415,              0.0009415
                    368,                 1.2709,                0.61958,                 1.1374,                0.81033,                0.73804,                0.78472,                0.38631,                 1.7675,                0.75784,                 1.4566,             0.00091675,             0.00091675,             0.00091675
                    369,                 1.2577,                0.61669,                 1.1372,                0.81385,                0.74014,                0.78785,                0.38665,                 1.7677,                0.75805,                 1.4568,               0.000892,               0.000892,               0.000892
                    370,                  1.263,                0.61642,                 1.1348,                0.81359,                0.73965,                0.78663,                0.38613,                 1.7682,                0.75806,                 1.4571,             0.00086725,             0.00086725,             0.00086725
                    371,                 1.2658,                0.61965,                 1.1364,                0.81134,                0.73679,                0.78285,                0.38583,                 1.7676,                0.75854,                  1.457,              0.0008425,              0.0008425,              0.0008425
                    372,                 1.2551,                0.61529,                 1.1306,                0.81338,                0.73971,                0.78713,                 0.3862,                 1.7685,                0.75768,                 1.4577,             0.00081775,             0.00081775,             0.00081775
