                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6799,                 1.0664,                 1.4307,                0.74694,                 0.6743,                0.71767,                0.32569,                 1.7825,                 0.9439,                 1.5024,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.6677,                 1.0481,                 1.4173,                0.72182,                0.65471,                0.70383,                0.32024,                 1.7863,                0.94371,                 1.5037,               0.009307,               0.009307,               0.009307
                     37,                 1.6696,                 1.0498,                 1.4248,                0.59976,                 0.7068,                0.68596,                0.32556,                 1.8005,                0.92804,                 1.5091,              0.0092872,              0.0092872,              0.0092872
                     38,                  1.662,                 1.0312,                 1.4085,                0.70853,                0.62534,                0.65336,                0.30724,                 1.7691,                0.91323,                  1.479,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.6459,                 1.0216,                 1.4036,                0.75647,                0.64084,                 0.7104,                 0.3276,                 1.7762,                0.91732,                 1.4915,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.6525,                 1.0294,                 1.4155,                0.72733,                0.66291,                0.73069,                0.32594,                 1.7896,                0.91887,                 1.4972,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.6438,                 1.0172,                 1.4053,                 0.7872,                0.59286,                0.72754,                  0.325,                 1.7563,                0.90006,                   1.48,               0.009208,               0.009208,               0.009208
                     42,                  1.648,                 1.0102,                 1.4042,                0.68374,                 0.6813,                0.71505,                0.34993,                  1.797,                0.91535,                 1.4973,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.6383,                  1.004,                  1.408,                0.70074,                0.69169,                0.71508,                0.33981,                 1.7775,                0.90421,                 1.4886,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.6387,                0.99689,                 1.3888,                0.74529,                0.67864,                0.75343,                0.33579,                 1.7667,                0.88955,                 1.4816,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.6309,                0.99025,                 1.3792,                0.77365,                0.68518,                0.73159,                0.33777,                 1.7827,                0.91562,                 1.4865,              0.0091288,              0.0091288,              0.0091288
                     46,                   1.63,                0.98442,                 1.3864,                0.70275,                0.69454,                0.72155,                0.32761,                 1.7777,                0.90931,                 1.4873,               0.009109,               0.009109,               0.009109
                     47,                 1.6249,                0.98216,                 1.3889,                0.74202,                 0.6689,                0.73131,                0.33115,                  1.778,                0.89247,                  1.479,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.6217,                0.98155,                 1.3787,                0.73198,                0.69575,                0.73266,                0.34034,                 1.7887,                0.89338,                 1.4938,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.6223,                0.96909,                 1.3792,                0.82549,                0.68093,                0.75513,                0.36197,                 1.7719,                0.86996,                 1.4833,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.6113,                0.95831,                 1.3769,                 0.8096,                0.68595,                0.73276,                0.34591,                 1.7685,                0.87583,                 1.4813,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.6121,                0.95722,                 1.3738,                0.81214,                0.68493,                0.72264,                0.32561,                 1.7803,                0.87476,                 1.4839,                0.00901,                0.00901,                0.00901
                     52,                  1.604,                0.95261,                 1.3652,                0.80986,                0.69331,                0.73677,                0.34167,                 1.7466,                0.86054,                 1.4618,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.6057,                0.95514,                 1.3703,                0.79657,                0.69199,                0.72636,                0.34061,                  1.781,                0.88025,                 1.4808,              0.0089704,              0.0089704,              0.0089704
                     54,                  1.598,                0.94123,                 1.3571,                0.83037,                0.68646,                0.74198,                0.35668,                  1.765,                0.86239,                 1.4681,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.5928,                0.93348,                 1.3585,                0.78698,                0.72687,                0.74349,                0.33412,                 1.7654,                0.85158,                 1.4595,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.5931,                 0.9389,                 1.3595,                0.83112,                 0.6821,                0.74136,                0.34852,                 1.7545,                0.85329,                   1.46,               0.008911,               0.008911,               0.008911
                     57,                  1.591,                 0.9328,                 1.3554,                0.76483,                 0.7028,                0.72858,                0.34376,                  1.773,                0.86489,                 1.4661,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.5907,                0.93174,                 1.3554,                0.81523,                0.70578,                 0.7427,                0.35713,                 1.7672,                0.84603,                 1.4601,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.5692,                0.91511,                 1.3388,                0.83505,                0.70723,                0.75123,                0.36253,                 1.7497,                0.84559,                 1.4549,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.5786,                0.91804,                 1.3518,                0.80104,                0.71328,                0.74065,                  0.364,                 1.7492,                0.86263,                 1.4541,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.5739,                0.91676,                 1.3469,                0.80982,                0.69197,                0.74037,                0.36454,                 1.7517,                0.84089,                 1.4489,               0.008812,               0.008812,               0.008812
                     62,                 1.5721,                0.90923,                 1.3454,                0.78274,                 0.7036,                0.73236,                0.35666,                 1.7643,                0.84369,                 1.4612,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.5681,                0.90994,                 1.3448,                0.76052,                0.69019,                 0.7509,                0.36222,                 1.7408,                0.83994,                 1.4523,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.5726,                0.90183,                 1.3356,                0.84057,                0.70914,                0.74448,                 0.3523,                 1.7504,                0.83254,                  1.452,              0.0087526,              0.0087526,              0.0087526
                     65,                  1.568,                0.90802,                 1.3342,                0.83909,                0.68963,                0.74848,                0.36404,                 1.7511,                 0.8412,                 1.4504,              0.0087328,              0.0087328,              0.0087328
                     66,                  1.555,                0.89747,                 1.3317,                0.85718,                0.68786,                0.75116,                 0.3439,                 1.7672,                0.83109,                 1.4604,               0.008713,               0.008713,               0.008713
                     67,                 1.5528,                0.88922,                 1.3292,                 0.8629,                0.67298,                 0.7394,                0.35942,                 1.7625,                0.83221,                 1.4561,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.5598,                0.89827,                 1.3252,                0.83326,                0.71228,                0.75039,                0.34863,                 1.7772,                0.84281,                 1.4643,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.5566,                 0.8952,                 1.3321,                0.83836,                0.71114,                0.75677,                 0.3571,                 1.7689,                0.83855,                 1.4556,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.5555,                 0.8899,                 1.3276,                0.79147,                0.70031,                0.74147,                0.35248,                 1.7597,                 0.8331,                 1.4509,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.5474,                0.88699,                 1.3265,                0.80651,                0.68304,                0.75424,                0.36972,                 1.7445,                0.81783,                 1.4471,               0.008614,               0.008614,               0.008614
                     72,                 1.5462,                0.87982,                 1.3175,                0.85362,                0.69258,                0.75587,                0.36314,                  1.745,                0.81645,                 1.4373,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.5398,                0.87395,                  1.317,                0.85774,                0.70359,                0.75475,                0.36578,                 1.7476,                0.82945,                 1.4434,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.5397,                0.87625,                 1.3163,                0.81885,                0.70586,                0.76006,                0.37075,                 1.7397,                0.82666,                 1.4395,              0.0085546,              0.0085546,              0.0085546
                     75,                  1.539,                0.87001,                 1.3211,                0.84669,                0.69568,                0.74596,                0.36799,                 1.7456,                0.80951,                 1.4427,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.5346,                0.86729,                 1.3122,                0.83361,                0.71669,                0.75412,                0.36554,                 1.7439,                0.80352,                 1.4446,               0.008515,               0.008515,               0.008515
                     77,                 1.5329,                0.86233,                 1.3075,                0.84588,                0.70719,                0.74767,                0.36138,                 1.7478,                0.80169,                 1.4453,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.5285,                0.85859,                 1.3045,                0.87052,                0.70844,                0.75771,                0.36694,                 1.7319,                0.79607,                 1.4321,              0.0084754,              0.0084754,              0.0084754
                     79,                 1.5252,                0.85753,                  1.307,                0.86885,                0.71313,                0.77231,                0.36588,                  1.736,                0.80162,                 1.4415,              0.0084556,              0.0084556,              0.0084556
